,Lon,Lat,NO_Med,NO2_Med,BC_Med,NO_Mean,NO2_Mean,BC_Mean,Speed_Med,Unique_Days,Unique_1Hz,AdjFac_NO,AdjFac_NO2,AdjFac_BC,Road_Type,Index_Hwy,Index_Domain,NO_SE,NO2_SE,BC_SE,h3id_7,h3id_8,h3id_9,h3id_10,h3id_11
0,-122.30583590000002,37.80812105,47.01124415,43.18417269,2.3324102780000002,72.23268413,46.53996556,3.3754617139999996,13.03344917,82,198,1.0641025640000001,1.1216133,1.117647059,2,0,1,2.7240035330000003,2.080244678,0.147212155,872830811ffffff,8828308119fffff,89283081187ffff,8a2830802497fff,8b2830802492fff
1,-122.30570220000001,37.80819587,61.50475985,45.30597827,2.702900388,82.33018235,48.39179018,4.476297208,15.45133781,60,76,1.023255814,1.125,1.005076142,3,0,1,6.447487391,3.19800829,0.4237993647,872830811ffffff,8828308119fffff,89283081187ffff,8a2830802497fff,8b2830802492fff
2,-122.30567479999999,37.80792636,65.46153851,55.90857356,2.59379975,95.61226984,59.10400902,2.649551458,10.9473772,20,37,1.2,1.244680851,1.0555555559999998,2,0,1,24.51103289,10.83319994,0.3705351328,872830811ffffff,8828308119fffff,89283081187ffff,8a2830802497fff,8b2830802492fff
3,-122.3056524,37.80796665,50.14285837,41.31713418,1.633319024,68.68760487,42.58343768,3.036577844,4.426794052,58,256,1.0925539979999999,1.2244897959999999,1.109083192,2,0,1,2.7022666510000004,1.307927181,0.09879996844000001,872830811ffffff,8828308119fffff,89283081187ffff,8a2830802497fff,8b2830802492fff
4,-122.30549579999999,37.80810489,50.47472598,39.77700043,2.313092674,79.55456697,44.61403186,3.993716676,10.43807697,81,293,1.09292881,1.065217391,1.117647059,2,0,1,4.020629677,2.186250426,0.2507468666,872830811ffffff,8828308119fffff,89283081187ffff,8a2830811867fff,8b2830811865fff
5,-122.30532240000002,37.80789986,42.33870865,31.64049514,1.9577842019999998,68.84069388,37.10610098,2.711209325,3.132966399,61,317,1.287179487,1.0,1.1375,2,0,1,3.8088019,0.9649567540999999,0.1623287851,872830811ffffff,8828308119fffff,89283081187ffff,8a2830811867fff,8b2830811865fff
6,-122.30522309999999,37.80760447,73.12499837,46.99126714,2.7782640460000003,135.38261619999997,44.09183694,3.708831876,9.553232193,23,100,1.0,1.135338346,1.0,1,0,1,14.17454842,2.244486805,0.4909732565,872830811ffffff,8828308119fffff,89283081197ffff,8a283081194ffff,8b283081194bfff
7,-122.30522040000001,37.80787364,36.62500032,42.86732962,2.451147803,92.99428783,42.55675252,2.898929189,6.996443748,32,90,1.0,1.0962637020000001,1.192771084,1,0,1,5.02165602,0.5567357462,0.1802921842,872830811ffffff,8828308119fffff,89283081187ffff,8a2830811867fff,8b2830811865fff
8,-122.30521979999999,37.80787778,43.70000008,40.40861367,1.749915624,67.57530574,38.90531807,2.441301496,5.610016346,58,180,1.086206897,1.139097744,1.095541401,1,0,1,3.328333626,0.6091493378,0.1488284227,872830811ffffff,8828308119fffff,89283081187ffff,8a2830811867fff,8b2830811865fff
9,-122.3051744,37.80733686,72.49999838,45.90799904,2.380857099,131.8250946,47.50022841,3.357499358,13.04116535,23,68,1.0,1.139097744,1.0,1,0,1,24.65987284,2.63680838,0.4349252332,872830811ffffff,8828308119fffff,89283081197ffff,8a283081194ffff,8b283081194bfff
