,h3id_9,NO_Med,NO2_Med,BC_Med,city,polygon
0,89283098027ffff,2.4342105469999997,5.609563975,0.2699940226,2,"POLYGON((37.7306629062778 -122.17918967306716, 37.73234512839429 -122.17811328228909, 37.73385407020079 -122.17937083630243, 37.73368076654567 -122.18170478082268, 37.731998543942964 -122.18278110277218, 37.730489625481304 -122.18152354903262))"
1,8928309802fffff,8.253787777,9.904488142000002,0.4586024798,2,"POLYGON((37.73251835510618 -122.17577930840207, 37.73420054647643 -122.17470281996955, 37.73570951162633 -122.17596037424573, 37.73553626206226 -122.17829441669423, 37.73385407020079 -122.17937083630243, 37.73234512839429 -122.17811328228909))"
2,89283098037ffff,4.434444481,9.2268770025,0.38944748185,2,"POLYGON((37.72747165900226 -122.17900852072991, 37.7291539113647 -122.17793215878052, 37.7306629062778 -122.17918967306716, 37.730489625481304 -122.18152354903262, 37.72880737263209 -122.18259984215801, 37.727298401065866 -122.18134232814457))"
3,892830980a7ffff,87.95652166,41.959230235,2.3023114345,2,"POLYGON((37.722424780000985 -122.18223735363931, 37.72410709331601 -122.1811611181576, 37.725616117979214 -122.18241859244739, 37.72544280597672 -122.18475230193803, 37.72376049217936 -122.18582846859609, 37.722251490866554 -122.18457099458979))"
4,89283098103ffff,2.857142734,5.817000031,0.2940885294,2,"POLYGON((37.73281359320444 -122.19337386669893, 37.73449584748055 -122.19229778009858, 37.736004536558866 -122.19355545213902, 37.73583094801646 -122.19588921046319, 37.73414869327586 -122.1969652282042, 37.73264002754185 -122.19570755648309))"
5,89283098107ffff,12.13351281,11.821608995,0.4716199197,2,"POLYGON((37.73414869327586 -122.1969652282042, 37.73583094801646 -122.19588921046319, 37.73733956062397 -122.19714692191795, 37.737165895146966 -122.19948065078546, 37.73548363994746 -122.20055659965827, 37.73397505068358 -122.19929888853444))"
6,8928309810bffff,55.09375187,32.24672841,1.193045058,2,"POLYGON((37.73466935908758 -122.1899639923363, 37.736351582645995 -122.18888780807048, 37.73786029506717 -122.19014548041935, 37.737686760586755 -122.19247933672828, 37.736004536558866 -122.19355545213902, 37.73449584748055 -122.19229778009858))"
7,8928309810fffff,37.062500285,19.434889405,0.95557440095,2,"POLYGON((37.736004536558866 -122.19355545213902, 37.737686760586755 -122.19247933672828, 37.73919539653649 -122.19373704850297, 37.73902178511581 -122.19607087537113, 37.73733956062397 -122.19714692191795, 37.73583094801646 -122.19588921046319))"
8,89283098113ffff,3.563492163,6.9647578185,0.2423552067,2,"POLYGON((37.72962256648989 -122.19319229218179, 37.73130485100513 -122.19211623439024, 37.73281359320444 -122.19337386669893, 37.73264002754185 -122.19570755648309, 37.73095774256154 -122.19678354541985, 37.729449023708604 -122.19552591342988))"
9,89283098117ffff,9.709434074,11.525355314999999,0.5061649018000001,2,"POLYGON((37.73095774256154 -122.19678354541985, 37.73264002754185 -122.19570755648309, 37.73414869327586 -122.1969652282042, 37.73397505068358 -122.19929888853444, 37.7322927652438 -122.20037480860758, 37.7307841228555 -122.19911713721673))"
