,Lon,Lat,NO_Med,NO2_Med,BC_Med,NO_Mean,NO2_Mean,BC_Mean,Speed_Med,Unique_Days,Unique_1Hz,AdjFac_NO,AdjFac_NO2,AdjFac_BC,Road_Type,Index_Hwy,Index_Domain,NO_SE,NO2_SE,BC_SE,h3id_7,h3id_8,h3id_9,h3id_10,h3id_11
0,-122.20172360000001,37.72660349,6.758620897999999,6.54413239,0.5451863949,26.14402097,10.93810895,0.6561612819,7.485166072999999,13,37,1.19047619,1.0,1.045454545,1,0,3,5.581507826,2.109851757,0.12359044890000001,872830981ffffff,8828309819fffff,89283098187ffff,8a2830981867fff,8b2830981863fff
1,-122.2016739,37.72683788,5.100000242,4.5688501530000005,0.47447322659999996,16.58913266,11.44800386,0.8946342262,0.0,12,256,1.615384615,1.1956521740000001,1.107843137,1,0,3,1.128840463,0.9099981081999999,0.09177792233,872830981ffffff,8828309819fffff,89283098187ffff,8a2830981867fff,8b2830981863fff
2,-122.20160349999999,37.72710238,3.67910451,4.470999956,0.2369465994,5.02437683,7.233824114,0.22874309829999998,0.0,12,147,1.119402985,1.0,0.9157894737000001,1,0,3,0.5187848104,0.34974604909999996,0.0354762389,872830981ffffff,8828309819fffff,89283098187ffff,8a2830981847fff,8b2830981845fff
3,-122.20153,37.72662421,8.69444425,8.458386302000001,0.44139060020000004,16.344527,9.787351461,0.6304340428999999,7.0324549670000005,17,70,0.9069767442,0.9638554217,0.9743589744,1,0,3,2.3250595130000002,0.7963454362000001,0.0956681941,872830981ffffff,8828309819fffff,89283098187ffff,8a2830981867fff,8b2830981863fff
4,-122.2014719,37.72689061,8.387096587,8.674534012,0.5454399681000001,18.56631638,10.80405503,0.4888911502,9.283149242,19,76,0.8734883721,0.9482758620999999,1.0,1,0,3,2.985273937,0.8513897839,0.1369147291,872830981ffffff,8828309819fffff,89283098187ffff,8a2830981847fff,8b2830981844fff
5,-122.20139809999999,37.72715442,8.863636166000001,8.608030805,0.41665362159999997,17.70197943,10.371318400000002,0.48379281450000006,11.49268818,18,65,0.84,0.9638554217,0.9743589744,1,0,3,1.958683419,0.7870600367,0.07556477261,872830981ffffff,8828309819fffff,89283098187ffff,8a2830981847fff,8b2830981844fff
6,-122.2013044,37.72741429,10.35625022,8.629553677,0.5998296047,23.77745646,12.06950157,0.7105889733,13.01029873,16,53,0.8888888889,0.9482758620999999,1.0,1,0,3,4.457586013,2.451918026,0.10679372320000001,872830981ffffff,8828309819fffff,89283098187ffff,8a2830981847fff,8b2830981840fff
7,-122.20119140000001,37.72766921,8.773923322,8.937423806,0.5667829164,19.29249403,12.84150744,0.8677966228,13.21093178,16,56,0.8387096773999999,1.0324895090000001,0.9743589744,1,0,3,3.329773232,2.316469921,0.17754989329999998,872830981ffffff,8828309819fffff,89283098187ffff,8a2830981847fff,8b2830981843fff
8,-122.20111299999999,37.72638363,10.04545509,11.57972648,0.3305971687,12.55373645,12.4532363,0.19828285469999998,6.934710503,13,86,0.8387096773999999,0.8977272727,0.8676470587999999,2,0,3,1.0029679759999999,3.058692433,0.07055107772000001,872830981ffffff,8828309819fffff,89283098187ffff,8a2830981867fff,8b2830981862fff
9,-122.20106100000001,37.72791892,8.831653018999999,8.946749926,0.5221768532,12.85192631,12.10091249,0.4761373129,14.29126549,16,52,0.84,1.0324895090000001,1.0,1,0,3,2.481074884,2.0041347380000003,0.1113476734,872830981ffffff,8828309819fffff,89283098187ffff,8a2830981847fff,8b2830981843fff
10,-122.2009256,37.72816697,6.499999965,9.124671439,0.5759532118,22.27049731,12.16598454,0.631235581,13.90543175,16,55,0.9375,1.1011235959999999,0.9743589744,1,0,3,2.824500533,2.102939283,0.1095080008,872830981ffffff,8828309819fffff,89283098187ffff,8a283098185ffff,8b283098185cfff
11,-122.20088290000001,37.72629624,8.812257946,8.158960801000001,0.6162264916,8.866416004,10.95933686,0.8480788919,11.05541039,15,38,0.8387096773999999,0.9304347826,0.9523809524,1,0,3,2.310632393,1.98320352,0.1128547592,872830981ffffff,8828309819fffff,89283098187ffff,8a2830981877fff,8b2830981875fff
12,-122.2007868,37.72841386,6.709677738,8.571375045,0.3307529829,29.46601234,12.68039482,0.43228946560000003,12.29007626,16,62,0.84,0.9560656419,0.9743589744,1,0,3,1.356856769,0.7513446336,0.08577834808,872830981ffffff,8828309819fffff,89283098187ffff,8a283098185ffff,8b2830981858fff
13,-122.20076189999999,37.72636515,10.45528448,7.8560112989999995,0.3661764453,10.2280272,10.65236639,0.28679507670000004,12.10487652,14,24,0.8393548387,0.9630339851999999,0.9633699634,1,0,3,2.4222215,2.2149306269999998,0.20194807039999998,872830981ffffff,8828309819fffff,89283098187ffff,8a2830981877fff,8b2830981875fff
14,-122.2007338,37.72886073,13.59090912,8.94699955,0.732738432,17.58463238,12.76973574,0.6085002866,15.20440388,12,24,1.119402985,1.0,1.0,1,0,3,5.328657535,4.981598217,0.1624304119,872830981ffffff,8828309819fffff,89283098187ffff,8a283098185ffff,8b283098185bfff
15,-122.200648,37.72866075,5.032258108,8.743499994,0.3687964968,34.19072318,13.42439967,0.7944186289,10.59755421,16,67,0.84,0.9638554217,0.9743589744,1,0,3,1.223418935,0.8669813284000001,0.1496298758,872830981ffffff,8828309819fffff,89283098187ffff,8a283098185ffff,8b2830981858fff
16,-122.20062320000001,37.72624383,9.030487857,8.108947962,0.3020767347,11.5545439,10.96330994,0.23081923940000001,12.12802649,12,24,0.8387096773999999,0.8977272727,0.9523809524,1,0,3,3.5748365630000003,3.1243615769999997,0.15340812199999998,872830981ffffff,8828309819fffff,89283098187ffff,8a2830981877fff,8b2830981875fff
17,-122.20059509999999,37.72910763,13.59090912,9.088000297999999,1.023457348,43.81561737,15.29082529,1.817907348,13.75624371,12,30,1.119402985,1.007142857,1.0,1,0,3,10.34481729,6.180444521,0.3273411067,872830981ffffff,8828309819fffff,892830981bbffff,8a283098185ffff,8b283098185bfff
18,-122.2005758,37.72617959,8.88888869,7.8057383620000005,0.47826127770000004,8.706161767000001,9.977982153,0.5614201526,12.60388756,13,26,0.88875,1.1528571429999999,0.9743589744,1,0,3,1.987923211,1.90361983,0.2293530129,872830981ffffff,8828309819fffff,89283098187ffff,8a2830981877fff,8b2830981875fff
19,-122.20056729999999,37.72599158,9.333333621,8.642137404,0.5856011978,10.34018103,11.53425237,0.630728697,9.434910297,11,23,1.19047619,0.9389312977,1.0,1,0,3,1.076165182,2.829952651,0.1069825415,872830981ffffff,8828309819fffff,89283098187ffff,8a283098195ffff,8b283098195bfff
20,-122.2005092,37.72890764,1.5789474430000001,6.933571089,0.2332559581,13.636895499999998,8.609550661,0.2872889399,9.100521564,16,109,0.8393548387,0.9482758620999999,0.7419354839,1,0,3,0.9369533641,1.220336116,0.09623521981000001,872830981ffffff,8828309819fffff,89283098187ffff,8a283098185ffff,8b283098185afff
21,-122.20045630000001,37.72935453,11.81818155,6.480000048,0.5969859903,26.14336494,13.10996688,0.8850963751,13.71508789,12,28,1.142857143,1.0142857140000001,1.0,1,0,3,7.339626064,5.362212523999999,0.2676237785,872830981ffffff,8828309819fffff,892830981bbffff,8a2830981bb7fff,8b2830981bb4fff
22,-122.2003713,37.72915285,7.037347642,8.020295467999999,0.3294329049,26.7629063,10.83109751,0.45705624759999997,8.941043854,15,41,0.8387096773999999,0.9304347826,0.9871794872,1,0,3,3.4296735660000004,0.697384406,0.17711339469999998,872830981ffffff,8828309819fffff,892830981bbffff,8a2830981bb7fff,8b2830981bb4fff
23,-122.20037040000001,37.72915452,2.519699932,4.988060926,0.1048362374,12.47825143,7.309369645,0.527832709,0.34467774630000003,16,107,1.7,0.8095238095,0.9473684211,1,0,3,0.9183740381000001,0.1366803405,0.0935382426,872830981ffffff,8828309819fffff,892830981bbffff,8a2830981bb7fff,8b2830981bb4fff
