h3id_9,no_med,no2_med,bc_med,city,general_counta,node_counta,info_counta,highway_counta,natural_counta,place_counta,parking_counta,addr_street_counta,addr_housenumber_counta,amenity_counta,school_counta,restaurant_counta,place_of_worship_counta,shop_counta,name,parking,crossing
89283081397ffff,3.1294118510000004,11.371579624999999,0.36066123810000006,1,42,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89283098307ffff,4.800000042,8.371635325,0.287246355,2,114,11,52,4,0,0,0,0,0,2,0,1,0,2,8,0,0
89283098323ffff,5.4040073865,8.4449999135,0.29329692905,2,154,15,55,6,0,0,0,0,0,1,0,0,1,0,7,0,0
8928309838bffff,2.68421055,5.870050445,0.3327094355,2,78,12,49,9,0,0,0,0,0,1,0,0,1,0,2,0,10
892830983d7ffff,5.551724309,7.473500013,0.3486557841,2,306,47,43,42,0,0,0,0,0,0,0,0,0,0,3,0,48
89283098567ffff,11.28333356,11.49955179,0.4442814789,2,20,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,8
8928309856fffff,7.266917434,11.836061375,0.32755896355,2,62,15,13,7,0,0,0,0,0,0,0,0,0,0,1,0,14
89283099c13ffff,34.150253205,19.61309369,1.1094126325,2,40,2,21,2,0,0,0,0,0,0,0,0,0,0,2,0,0
89283081017ffff,8.142857372,14.831073235,0.44659377985000004,1,548,107,165,48,12,0,0,3,3,27,0,3,0,3,28,0,66
89283081043ffff,12.53058903,16.708072960000003,0.6083424577000001,1,278,73,111,18,24,0,2,1,1,11,0,0,0,1,14,2,20
89283081073ffff,11.075757809999999,16.525045825,0.49280517204999996,1,234,44,99,27,0,0,0,2,3,11,0,1,0,4,14,0,40
892830810d3ffff,9.323624584000001,15.943253465000002,0.4570633411,1,622,101,175,60,0,0,2,1,2,14,0,0,1,5,26,2,84
892830812b7ffff,7.982758845,12.70420798,0.4668285534,1,156,38,59,28,0,0,0,3,3,1,0,1,0,1,6,0,16
8928308154bffff,8.355932657,14.81700039,0.5921038437,1,74,17,39,4,0,0,0,1,1,0,0,0,0,1,2,0,8
8928309813bffff,9.271698262000001,13.62073963,0.4520560878,2,158,17,78,6,0,0,0,4,4,7,0,0,0,3,12,0,0
892830981c7ffff,11.74193585,10.37682956,0.4602916433,2,62,11,29,5,0,0,0,0,0,0,0,0,0,0,2,0,2
8928309822bffff,4.126705683500001,7.1081328605000005,0.3954051263,2,4,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
89283098303ffff,2.696969772,6.747749858500001,0.18959305365,2,88,11,43,5,0,0,0,0,0,2,0,0,2,0,4,0,3
89283098377ffff,1.615384692,7.511305533,0.178303729,2,254,49,15,34,0,0,0,0,0,0,0,0,0,0,0,0,38
89283098ed7ffff,16.09523843,16.4659533,0.7441946268,2,78,9,35,3,0,0,0,0,0,0,0,0,0,1,4,0,0
89283099c8fffff,21.74999937,15.81330188,0.6550418508,2,50,3,30,3,0,0,0,0,0,0,0,0,0,0,2,0,0
892830810b7ffff,27.10290607,24.30546318,0.9014016690000001,1,126,13,53,9,0,0,0,0,0,4,0,0,3,0,6,0,8
8928308138fffff,5.57142862,11.85848085,0.3355491026,1,290,35,83,24,0,0,0,0,0,7,0,0,4,3,16,0,32
892830813c7ffff,12.28486106,17.5947597,0.5205670340999999,1,124,18,38,12,0,0,0,0,0,0,0,0,0,0,4,0,12
89283098147ffff,4.00000019,7.178066362,0.35128385310000004,2,106,14,41,11,0,0,0,0,0,0,0,0,0,0,3,0,12
8928309815bffff,3.4666668310000004,7.309297765,0.3077110178,2,86,8,48,3,0,0,0,0,0,2,0,0,2,0,5,0,0
8928309836fffff,2.909091047,8.012799835,0.303293502,2,174,30,34,29,0,0,0,0,0,0,0,0,0,0,2,0,34
89283099d8bffff,2.963855562,9.30934094,0.3038791082,2,114,17,33,12,0,0,0,0,0,0,0,0,0,0,2,0,8
89283099d8fffff,4.00000019,7.753755141499999,0.27389590524999996,2,278,40,42,37,0,0,0,0,0,0,0,0,0,0,4,0,46
89283081087ffff,15.703703685,20.719971909999998,0.71319412715,1,206,49,51,41,0,0,0,0,0,3,0,0,0,0,4,0,60
8928308114bffff,5.842307590500001,12.600465804999999,0.5672026433499999,1,92,13,61,3,0,0,0,1,2,1,0,1,0,1,7,0,2
89283081157ffff,10.90372986,16.51021579,0.5357606975,1,134,27,35,19,0,0,0,0,0,0,0,0,0,0,4,0,24
892830811cbffff,3.981481392,12.06014794,0.3566115887,1,112,14,50,10,0,0,0,1,1,1,0,0,1,0,4,0,12
89283081317ffff,12.713779755000001,18.179095500000003,0.5525612901999999,1,156,30,68,20,0,0,0,0,0,5,1,1,1,0,9,0,22
89283081387ffff,3.584415755,11.1739035,0.28652351379999996,1,136,25,40,9,0,0,0,0,1,0,0,0,0,0,4,0,8
89283081467ffff,7.185510787,13.726288825000001,0.40700814765,1,310,49,121,27,0,0,0,4,4,5,0,2,0,1,16,0,37
8928309816bffff,7.000000216,11.44431423,0.4637487666,2,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8928309819bffff,10.20000009,12.6082499,0.4871236086,2,12,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89283098317ffff,4.423835094999999,7.862060061000001,0.36068258035,2,10,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89283099d13ffff,2.451531763,8.3969470575,0.33796420915000003,2,182,34,15,21,0,0,0,0,0,0,0,0,0,0,0,0,24
89283099d87ffff,1.935985751,7.0017909225,0.21315735915,2,40,11,22,4,0,0,0,0,0,0,0,0,0,0,1,0,0
89283099db3ffff,11.35456149,12.33444426,0.3702270253,2,54,7,27,3,0,0,0,0,0,0,0,0,0,0,2,0,0
89283081027ffff,7.647058981,14.63303429,0.5236454717,1,110,17,35,14,0,0,0,0,0,1,0,0,0,0,4,0,18
8928308102fffff,5.0925924789999995,14.03600025,0.4458876354,1,88,18,46,2,0,0,0,0,0,3,0,0,2,0,3,0,2
8928308106fffff,9.238095178,17.948955885,0.61584392135,1,110,23,46,16,0,0,0,0,0,0,0,0,0,0,3,0,6
892830812a3ffff,3.891892077,11.156807215,0.34331602969999997,1,54,11,37,3,0,1,0,1,1,0,0,0,0,0,3,0,4
89283098167ffff,15.45374914,17.101379555,0.63383924505,2,104,23,48,10,0,0,0,0,0,5,0,1,0,0,8,0,12
8928309831bffff,3.4577922709999998,7.0603105215,0.23420787755,2,92,10,28,4,0,0,0,0,0,0,0,0,0,0,4,0,0
89283099d03ffff,10.047169533000002,9.0923626975,0.36861554739999997,2,192,21,72,16,0,1,0,0,0,0,0,0,0,0,2,0,12
89283099d4fffff,35.18919028,23.42633094,0.6495529178,2,54,11,15,10,0,0,0,0,0,0,0,0,0,0,0,0,12
8928308106bffff,6.8049591725,14.585777075,0.3794973252,1,170,27,97,4,0,1,0,3,3,9,0,2,0,8,21,0,0
892830810dbffff,8.110389559,14.08007395,0.3672852035,1,280,59,68,31,0,0,0,0,0,5,0,0,0,0,6,0,48
89283081117ffff,26.55681894,26.651999625,1.2354245075,1,24,9,11,2,0,0,0,0,0,0,0,0,0,0,0,0,2
8928308118bffff,5.194502186999999,11.5237883,0.3900885717,1,64,8,32,5,0,0,0,0,0,0,0,0,0,1,5,0,6
892830812b3ffff,7.904279492,13.107791005,0.3997271579,1,292,35,64,16,0,0,0,19,19,0,0,0,0,0,5,0,18
89283081563ffff,21.866455780000003,24.397246495,1.069564781,1,28,12,12,1,0,0,0,0,0,0,0,0,0,0,1,0,2
89283098117ffff,9.709434074,11.525355314999999,0.5061649018000001,2,70,6,32,3,0,0,0,0,0,2,0,0,0,0,5,0,0
89283098ed3ffff,12.94736853,13.25168934,0.5984657473,2,106,18,37,9,0,0,0,0,0,0,0,0,0,0,2,0,12
89283099dbbffff,10.12537335,11.13833339,0.345322475,2,80,9,37,4,0,0,0,0,0,1,0,0,0,1,5,0,2
8928308101bffff,9.587386037,17.52908796,0.4758283033,1,1108,189,366,47,0,0,0,17,19,69,1,21,0,34,119,0,68
89283081067ffff,6.000000052000001,13.83900032,0.41951677090000006,1,196,36,44,28,0,0,0,0,0,1,0,0,0,5,10,0,38
892830810c3ffff,7.3607598124999996,14.67766239,0.4274354523,1,504,90,148,58,0,1,2,1,1,20,1,1,0,3,25,2,84
89283081103ffff,14.7149122,21.559846059999998,0.94710852745,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8928308110fffff,11.914135075,16.519544234999998,0.7608276103,1,50,25,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8928308116bffff,19.24658867,19.94597398,0.9988617572,1,44,6,37,1,0,0,0,1,0,0,0,0,0,0,2,0,0
89283081187ffff,40.931817455,31.402429405,1.6421464085,1,4,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89283081333ffff,17.00000052,21.98742426,0.49388551189999996,1,320,54,101,31,0,0,0,3,3,10,0,2,0,6,20,0,24
89283098393ffff,6.701052834,9.63497767,0.39486820045000004,2,102,9,43,4,0,0,0,0,0,1,1,0,0,0,5,0,0
89283099c03ffff,21.47712461,18.68439466,0.7711901256,2,66,6,27,6,0,0,0,0,0,0,0,0,0,0,3,0,0
89283081007ffff,13.872690944999999,18.181685514999998,0.67150658285,1,190,49,40,40,0,0,0,0,0,2,0,0,0,1,6,0,63
8928308115bffff,4.833333225,12.71494678,0.405415085,1,134,19,41,5,0,0,0,0,0,0,0,0,0,1,6,0,2
892830812a7ffff,7.5171069065,12.4839628,0.36261213175,1,188,26,94,9,1,1,0,4,4,8,1,2,0,2,14,0,2
8928308131bffff,4.00000019,10.113303925,0.34648982525,1,70,9,42,2,0,0,0,1,1,1,0,1,0,1,5,0,0
892830813abffff,12.542953,18.76600011,0.5093500483,1,148,39,30,30,0,0,0,0,0,3,0,1,0,6,9,0,47
892830813b3ffff,4.238596693,12.85949277,0.408413294,1,96,20,45,8,0,0,0,1,1,0,0,0,0,0,2,0,8
8928308155bffff,8.481012469,20.22999981,0.32637881420000003,1,28,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8928309811bffff,6.835555753,12.89348281,0.45325580055000003,2,22,7,15,3,0,0,0,0,0,0,0,0,0,0,0,0,2
89283098387ffff,6.719999711,10.39126037,0.42543780439999995,2,40,2,21,2,0,0,0,0,0,0,0,0,0,0,2,0,0
89283099c27ffff,1.9945055699999998,5.927343713,0.1580801768,2,32,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0
89283099c3bffff,30.47128374,20.50556326,0.7213569022,2,64,5,26,3,0,0,0,0,0,0,0,0,0,0,3,0,0
89283099dc3ffff,3.1079734489999997,9.314775802,0.34048955095,2,106,8,50,5,0,0,0,0,0,1,0,0,0,1,7,0,0
89283099dd7ffff,3.0555556425,9.2882783335,0.32002892645000003,2,256,39,54,35,0,0,0,0,0,1,0,0,1,0,3,0,35
8928308107bffff,8.999999613,14.94699955,0.4794486021,1,396,56,160,8,3,0,2,10,12,20,0,6,0,13,36,2,6
892830812abffff,9.750000085,15.56300052,0.5265689639,1,146,22,60,14,0,0,0,3,3,2,0,0,0,1,5,0,16
892830813cfffff,11.90000037,16.22091925,0.26392222239999996,1,210,32,88,19,0,0,0,2,2,4,0,2,1,3,10,0,24
89283098103ffff,2.857142734,5.817000031,0.2940885294,2,80,6,38,4,0,0,2,0,0,1,0,0,0,0,5,2,0
89283098183ffff,8.064777643500001,7.910187732,0.3989291952,2,30,6,22,5,0,0,0,1,1,0,0,0,0,0,1,0,0
89283098333ffff,2.728049508,4.6080937875,0.21600867375,2,14,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89283098e9bffff,10.69841306,12.479150815,0.5856310170500001,2,144,24,45,14,3,0,0,0,0,4,0,0,0,0,7,0,12
89283098edbffff,4.571428789,9.105519481,0.3063672986,2,108,9,49,4,0,0,0,0,0,1,0,0,1,0,5,0,0
89283099d43ffff,1.353022026,6.0515624005,0.15382902440000001,2,76,10,30,7,0,0,0,0,0,0,0,0,0,0,2,0,0
89283099d53ffff,1.095238147,5.34800005,0.1802524698,2,96,14,29,10,0,0,0,0,0,0,0,0,0,0,1,0,0
89283099d83ffff,1.129629683,5.61499993,0.2781382992,2,10,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
8928308102bffff,7.000000216,14.42550008,0.400403354,1,246,42,68,26,0,0,0,0,0,2,0,0,1,3,11,0,30
8928308108bffff,12.63611085,18.598338045,0.49457377915,1,1162,221,342,67,0,0,13,7,8,70,0,22,2,63,142,13,94
89283081153ffff,7.395097988,15.12892609,0.5346540924000001,1,74,15,42,2,0,0,0,2,2,1,0,0,0,0,3,0,0
892830811c7ffff,4.9999998880000005,11.358308860000001,0.40558045760000005,1,144,15,56,11,0,0,0,0,0,2,1,0,1,0,8,0,12
892830812afffff,8.00000038,12.86299992,0.3490784268,1,88,12,68,7,0,1,0,2,2,1,0,1,0,1,5,0,0
8928308139bffff,3.6129033969999997,10.75553162,0.3246519424,1,50,15,21,4,0,1,0,0,0,0,0,0,0,0,1,0,8
