,h3id_9,y - y_estimated
0,892830983c7ffff,-3.640190607385171
1,89283099d4bffff,16.61449159719701
2,89283099d7bffff,3.308304831547705
3,8928309830fffff,-3.0820377109470556
4,8928309834fffff,-5.376900229363169
5,89283098153ffff,-0.9882452770117638
6,89283098ec3ffff,3.33671034996258
7,892830981dbffff,19.30620310878645
8,89283099cb7ffff,-1.6548217549729674
9,89283098197ffff,1.3921109609159927
10,89283098027ffff,-2.8726954465384154
11,89283098e1bffff,0.8544751976565665
12,892830981bbffff,3.426634325916509
13,89283098187ffff,2.780659964086701
14,892830981cfffff,-21.63601454931416
15,892830983b7ffff,5.661862145826952
16,892830983c3ffff,-3.549448334730535
17,89283099d57ffff,-2.2190072273757395
18,89283098177ffff,1.899328538567758
19,89283098e8bffff,6.16457465997591
20,89283098367ffff,-1.1837896707116187
21,892830983cbffff,-2.7288570494174067
22,892830981c7ffff,4.328108022986457
23,8928309822bffff,-7.249265359179787
24,89283098303ffff,-3.1333741042777046
25,89283098ed7ffff,9.13822561005613
26,89283099c8fffff,6.206653363665959
27,8928309813bffff,1.274400132593505
28,89283098307ffff,-0.9001594649430578
29,89283098323ffff,-0.19795486873607704
30,892830983d7ffff,0.2589331409036193
31,89283099c13ffff,24.17512137728937
32,8928309838bffff,-1.9635001267175727
33,89283098567ffff,4.5723462202022676
34,8928309856fffff,0.6819580705047024
35,8928309812bffff,-47.89993499866175
36,8928309832fffff,-0.04570179438234412
37,892830983b3ffff,-2.554409040254332
38,89283099d0bffff,-2.8324897385182375
39,892830981d7ffff,5.441682418608206
40,89283098237ffff,-1.4060471384213447
41,8928309814bffff,2.413725334120543
42,89283098357ffff,-3.786772872881743
43,8928309835bffff,-3.139597888800591
44,8928309839bffff,-2.1208247616353857
45,89283099ca7ffff,-5.075662179290102
46,89283098037ffff,-0.30595203797232173
47,89283099d5bffff,-4.991382136149934
48,89283098e57ffff,1.8803290213249464
49,89283098227ffff,-4.810792800934964
50,8928309838fffff,-1.1728158182082185
51,892830983a3ffff,-1.8182684957203472
52,89283098e43ffff,2.2335406557708746
53,89283098e4fffff,7.474288638265394
54,8928309814fffff,-1.1050264200273294
55,89283099ddbffff,-1.7152445532604301
56,89283099d73ffff,0.4337790508092292
57,89283099dc7ffff,-4.1636399649960385
58,892830981cbffff,1.3303315909135285
59,8928309832bffff,0.17546538750224983
60,89283098383ffff,-0.6511307409914178
61,89283098e9bffff,5.3952412930361495
62,89283098edbffff,-3.0512829260193373
63,89283098103ffff,-2.6389094085437934
64,89283098183ffff,2.237970777984769
65,89283098333ffff,0.10065067351097046
66,89283099d53ffff,-2.3486449829966283
67,89283098223ffff,-3.7085000397823427
68,89283098343ffff,1.0776096899796146
69,89283098363ffff,-2.3157394206013033
70,89283099c97ffff,-20.706659912680493
71,89283098163ffff,3.880524467334549
72,89283098143ffff,1.037826643298894
73,89283098347ffff,-0.9874396768537164
74,89283098e13ffff,7.113154858631987
75,8928309816fffff,3.6088647796475692
76,89283098327ffff,-3.6785540965961774
77,892830983abffff,-0.18974149787985617
78,8928309810bffff,68.00566716604042
79,892830981d3ffff,-3.2921172202729294
80,89283099d97ffff,-2.060964247281456
81,89283098313ffff,3.7930582073312706
82,89283099c2fffff,-18.204352042853543
83,89283099d1bffff,-4.183707355987039
84,89283098173ffff,1.2722698092777982
85,89283098563ffff,4.564275348862939
86,8928309811bffff,-55.39419390146077
87,89283098387ffff,0.7512558099037783
88,89283099dd7ffff,-2.598443709324899
89,89283099dc3ffff,-4.129461147365097
90,89283099c3bffff,-8.41075729657813
91,8928309831bffff,-0.939868533479093
92,89283099d03ffff,4.08092922241999
93,89283098167ffff,2.412661250567199
94,89283099d4fffff,6.357900087389634
95,89283098ed3ffff,7.860529813883808
96,89283099dbbffff,5.105204858072799
97,89283098117ffff,5.0920347796728915
98,8928309815bffff,-2.5638132782550684
99,8928309836fffff,-4.455075518219068
100,89283099d8fffff,-0.6789408131080457
101,89283099d8bffff,-1.239007635135481
102,89283098147ffff,-3.6129669567305243
103,8928309818fffff,2.8272229955543438
104,8928309830bffff,-1.457807789582453
105,89283099897ffff,8.181673561249674
106,89283099ca3ffff,-3.852323804011531
107,89283099dcfffff,-2.090986643235169
108,89283098393ffff,1.875744315734777
109,89283099c03ffff,-34.90334582415893
110,8928309833bffff,-1.8986721318132203
111,89283098397ffff,-2.4002094137495433
112,89283099d93ffff,-0.739854318328018
113,892830983bbffff,-0.5447104498225026
114,8928309834bffff,-2.6377431715647326
115,89283098353ffff,-3.108880104145544
116,89283098373ffff,-2.8382262359487065
117,89283098e5bffff,-4.128491270188799
118,89283098ecbffff,-0.07442519171292705
119,89283099c07ffff,21.500229744177567
120,89283099dcbffff,-4.291824259530518
121,892830981c3ffff,0.7371599669099886
122,8928309837bffff,-1.6381823714692825
123,89283099c83ffff,21.827537224155584
124,89283099d17ffff,4.611924896788749
125,89283099c93ffff,19.743372356968813
126,8928309810fffff,29.414991601397496
127,89283099c87ffff,-9.822433451978174
128,89283098107ffff,4.257707016483116
129,8928309802fffff,3.3735667234385067
130,89283099cafffff,-4.168937915220957
131,89283099dd3ffff,-1.364913851876215
132,89283099d9bffff,-1.685807475926012
133,89283098337ffff,0.6040101345504207
134,89283098e4bffff,-8.28710855487752
135,8928309816bffff,1.4553616419307245
136,89283098317ffff,1.0883729415382515
137,89283099db3ffff,7.526785405980992
138,89283099d87ffff,-4.2415527698308555
