,h3id_9,y - y_estimated
0,892830813b7ffff,-1.9386597039961906
1,89283098197ffff,-5.615985620572304
2,89283099cb7ffff,-5.101909708045191
3,89283081197ffff,33.83125312132754
4,89283081547ffff,-5.3401994189208395
5,89283081577ffff,41.6080067045653
6,892830811d3ffff,-4.707551801312209
7,89283098107ffff,0.8654443385604598
8,8928309810fffff,26.65127077993207
9,8928309836bffff,-2.675043854787763
10,89283099c87ffff,-3.7879632600429467
11,89283081097ffff,-3.112307806411505
12,8928308110bffff,2.539829049161412
13,89283081143ffff,-1.6932759372398696
14,8928308114fffff,-3.694016142149011
15,8928308117bffff,-4.712240579833641
16,8928309833bffff,-5.669635497018048
17,89283098397ffff,-6.806217364576726
18,892830983bbffff,-8.540322472050764
19,89283099d93ffff,-2.321090040192005
20,8928308119bffff,-2.4174630014848066
21,89283098143ffff,-0.2614722373660676
22,8928309816fffff,-1.3699098044494828
23,89283098327ffff,-5.438135383348684
24,89283098347ffff,-3.7691381208612125
25,892830983abffff,-7.711449572935102
26,89283098e13ffff,5.384913512906458
27,89283098ecfffff,-6.500741080204369
28,89283081233ffff,14.201563563156789
29,89283081393ffff,-1.8217532929617937
30,892830813bbffff,0.8845417195264353
31,892830813dbffff,0.5535531829731877
32,89283081037ffff,-6.754569935439067
33,89283081053ffff,-4.345567768714566
34,892830811cfffff,-4.3186225724403
35,8928308130fffff,-4.323150298662261
36,892830813d3ffff,-0.23226817477099715
37,8928309834bffff,-2.6967026984873907
38,89283098353ffff,-2.735516295873744
39,89283098373ffff,-4.637778026079806
40,89283098e5bffff,-9.021241315309066
41,89283098ecbffff,-4.475938895527566
42,89283099c07ffff,-6.297216970136002
43,89283099dcbffff,-9.258932554866044
44,8928308100bffff,6.926412250604552
45,8928308103bffff,-5.246769112254317
46,8928308104fffff,-2.485072609513839
47,89283081183ffff,0.6864812778421001
48,89283081357ffff,0.018049282946597245
49,8928308138bffff,-9.173069453500375
50,892830981c3ffff,1.691066490724653
51,8928309837bffff,-3.3122696704401084
52,89283099c83ffff,25.960886901703248
53,89283099c93ffff,13.59520603387969
54,89283099d17ffff,3.040394666250899
55,89283081033ffff,-5.2907071100959175
56,89283081077ffff,7.117974591233802
57,892830810cfffff,-6.297870556773287
58,89283081383ffff,-2.138659965786517
59,8928308156bffff,4.060171586799726
60,89283098027ffff,-9.540164160822648
61,892830981bbffff,-0.8966382725268947
62,89283098e1bffff,-2.424675088439284
63,89283081003ffff,-2.037938787093932
64,892830810afffff,-0.12382524366799874
65,89283081173ffff,6.952576171639782
66,892830811bbffff,18.79844149035442
67,892830813a3ffff,5.966351120532046
68,8928309812bffff,58.348874976672036
69,892830981d7ffff,-0.3720995590538365
70,89283098237ffff,-1.9539950190547142
71,8928309832fffff,-1.5791817848327954
72,892830983b3ffff,-8.810509978910826
73,89283099d0bffff,-6.609842296792585
74,8928308100fffff,-2.4498558271843898
75,8928308142fffff,-6.0413816892713585
76,89283081567ffff,-1.7730253444999402
77,8928308157bffff,-27.85471961791979
78,89283098157ffff,-5.295277531012784
79,89283098173ffff,-0.6743453103272765
80,89283098313ffff,1.1133523293733525
81,89283098563ffff,-0.9360140226579734
82,89283099c2fffff,-2.4273548643302707
83,89283099d1bffff,-7.074929599529867
84,89283081063ffff,-0.04424991794241606
85,89283081193ffff,1.9968526807005507
86,892830811c3ffff,-2.444979822741015
87,892830813afffff,3.087680572174648
88,89283081463ffff,-3.9562253267869227
89,8928308154fffff,-4.338137286354369
90,8928309810bffff,43.32985779224469
91,892830981d3ffff,-8.580261743757331
92,89283099d97ffff,-11.568044782516434
93,89283081013ffff,7.4677384595507945
94,89283081047ffff,2.2392217564710704
95,8928308109bffff,6.058769346284546
96,8928308118fffff,-2.485996951246407
97,892830811d7ffff,-4.6442671401704985
98,89283081303ffff,0.1944647887422164
99,89283081edbffff,-1.6541327873556169
100,8928309818fffff,-4.236573046557709
101,8928309830bffff,-8.568125182949483
102,89283099897ffff,21.325303958390414
103,89283099c33ffff,-7.742777094282548
104,89283099ca3ffff,-5.764864401915397
105,89283099dcfffff,-6.4409808480326145
106,892830810a7ffff,-1.8062677289229523
107,892830810abffff,1.3189939252222294
108,89283081217ffff,16.505497503126
109,89283081397ffff,-14.49528161931558
110,89283098307ffff,-3.4269345445728794
111,89283098323ffff,-1.7592057855612602
112,8928309838bffff,-6.076111087983472
113,892830983d7ffff,-1.3733299099046468
114,89283098567ffff,0.9428614971798694
115,8928309856fffff,-3.092506334227231
116,89283099c13ffff,25.37925328609357
117,89283081017ffff,-4.574261650199832
118,89283081043ffff,1.682582026442546
119,89283081073ffff,-0.4355142855784617
120,892830810d3ffff,3.047059138598364
121,892830812b7ffff,-13.10188678795938
122,8928308154bffff,-3.246686174327076
123,8928309813bffff,-1.1468385834175923
124,892830981c7ffff,1.3817768292775359
125,8928309822bffff,-6.393036257481028
126,89283098303ffff,-5.152626005182604
127,89283098377ffff,-7.772280765302516
128,89283098ed7ffff,7.054367289027091
129,89283099c8fffff,13.056173451721476
130,892830810b7ffff,20.464751529725692
131,8928308138fffff,0.2442791108945208
132,892830813c7ffff,3.5355928136036994
133,89283098147ffff,-4.515929138799407
134,8928309815bffff,-4.029151989984638
135,8928309836fffff,-5.6715725178115655
136,89283099d8bffff,-6.207137592940598
137,89283099d8fffff,-2.5925067677502556
138,89283081087ffff,3.6200233220082314
139,8928308114bffff,-3.260870199620893
140,89283081157ffff,0.6936410811005587
141,892830811cbffff,-4.015096807611616
142,89283081317ffff,6.054998013123119
143,89283081387ffff,-5.992243202384293
144,89283081467ffff,-1.9850365979884188
145,8928309816bffff,-3.107271802871715
146,8928309819bffff,0.005084752715198704
147,89283098317ffff,-6.631450099435104
148,89283099d13ffff,-6.857819421826587
149,89283099d87ffff,-10.105341477808887
150,89283099db3ffff,1.7920084876941615
151,89283081027ffff,-1.2541233742676807
152,8928308102fffff,-4.523172814033513
153,8928308106fffff,-3.351913650550026
154,892830812a3ffff,-7.213768990370335
155,89283098167ffff,2.8003242848841605
156,8928309831bffff,-5.15770129734797
157,89283099d03ffff,2.9134716035379435
