,h3id_9,y - y_estimated
0,892830813b7ffff,-1.7740063550033156
1,89283098197ffff,-4.855537061485067
2,89283099cb7ffff,-3.8375316686131797
3,89283081197ffff,32.739181619105246
4,89283081547ffff,-7.668940204351253
5,89283081577ffff,39.781857560467145
6,892830811d3ffff,-3.8174719917073423
7,89283098107ffff,1.0467717596993573
8,8928309810fffff,25.923393008537108
9,8928309836bffff,-2.164473034697421
10,89283099c87ffff,-3.0893353002867165
11,89283081097ffff,-5.134314942308449
12,8928308110bffff,2.59099991911844
13,89283081143ffff,-2.0545972815825344
14,8928308114fffff,-6.766797191560735
15,8928308117bffff,-6.238395636687508
16,8928309833bffff,-6.568876140574739
17,89283098397ffff,-7.154635255301223
18,892830983bbffff,-9.60586021804335
19,89283099d93ffff,-1.1567697300800255
20,8928308119bffff,-1.8111712558069133
21,89283098143ffff,2.2273925420804277
22,8928309816fffff,-1.4562762540538472
23,89283098327ffff,-5.153611650967822
24,89283098347ffff,-2.75380268647307
25,892830983abffff,-8.310943541548598
26,89283098e13ffff,1.2003586108315503
27,89283098ecfffff,-6.420101421702595
28,89283081233ffff,15.618462545377469
29,89283081393ffff,-2.9623588742340816
30,892830813bbffff,-0.6574425696123303
31,892830813dbffff,0.7954412360420307
32,89283081037ffff,-5.844896747369569
33,89283081053ffff,-3.5295755362134384
34,892830811cfffff,-3.7161484647325382
35,8928308130fffff,-6.117685728471567
36,892830813d3ffff,0.7808287509429013
37,8928309834bffff,-1.8298370670571504
38,89283098353ffff,-2.32196469392857
39,89283098373ffff,-3.6677643755069145
40,89283098e5bffff,-9.860059195795973
41,89283098ecbffff,-3.6757707502045442
42,89283099c07ffff,-5.267567037220012
43,89283099dcbffff,-9.209088422178995
44,8928308100bffff,7.369590266183343
45,8928308103bffff,-6.266770407079467
46,8928308104fffff,-1.074957978782674
47,89283081183ffff,-1.1269710071503045
48,89283081357ffff,-1.5151872186052682
49,8928308138bffff,-10.9908851160809
50,892830981c3ffff,0.5714746620471232
51,8928309837bffff,-1.49476113918944
52,89283099c83ffff,24.363247682414368
53,89283099c93ffff,13.84941951702173
54,89283099d17ffff,3.1869442694095564
55,89283081033ffff,-4.200045743420118
56,89283081077ffff,7.7584965305555755
57,892830810cfffff,-8.315357544012432
58,89283081383ffff,-3.8123708906771663
59,8928308156bffff,-0.5430894816220597
60,89283098027ffff,-9.611821842999436
61,892830981bbffff,-1.4057318761031592
62,89283098e1bffff,-2.0636355983655106
63,89283081003ffff,-1.4505253631810398
64,892830810afffff,1.1187290637142988
65,89283081173ffff,6.441216398523071
66,892830811bbffff,16.40463374943681
67,892830813a3ffff,6.911588592702481
68,8928309812bffff,59.24702876650336
69,892830981d7ffff,-1.3894610139406076
70,89283098237ffff,0.43010576197770334
71,8928309832fffff,-0.34601457025389415
72,892830983b3ffff,-9.600741912324846
73,89283099d0bffff,-6.715958468184501
74,8928308100fffff,-3.266530050085219
75,8928308142fffff,-5.619150334028993
76,89283081567ffff,-1.7596316266000525
77,8928308157bffff,5.089928351970794
78,89283098157ffff,-6.39209710621787
79,89283098173ffff,-0.026673656220445707
80,89283098313ffff,1.356415430717285
81,89283098563ffff,-1.1538015952978782
82,89283099c2fffff,-1.6090663492763255
83,89283099d1bffff,-6.737865060574634
