,h3id_9,no_med,OSM-SimpleLinearRegression-y_estimated,OSM-SimpleLinearRegression-diff,Waze-SimpleLinearRegression-y_estimated,Waze-SimpleLinearRegression-diff,Waze-SimpleGamma-y_estimated,Waze-SimpleGamma-diff,Waze-SimpleLinearRegression-transformed-y_estimated,Waze-SimpleLinearRegression-transformed-diff
0,89283098147ffff,4.00000019,8.351927689550584,-4.351927499550584,13.590701044661824,-9.590700854661824,9.043671326368198,-5.043671136368198,3.1120500632542396,-1.1120500157542401
1,892830813c7ffff,12.28486106,9.48493137116875,2.7999296888312504,16.334396762125124,-4.049535702125123,8.428567200905722,3.8562938590942792,3.6609058774074055,-0.1559292640760126
2,8928309836fffff,2.909091047,8.052223415022425,-5.143132368022425,7.91840274000139,-5.00931169300139,7.43934602638958,-4.53025497938958,2.6537869398560856,-0.9481811685830168
3,89283099d8bffff,2.963855562,10.084299253648348,-7.120443691648348,4.95632073776024,-1.9924651757602403,4.89876863754746,-1.9349130755474597,2.0867161519372512,-0.3651309632230826
4,892830810dbffff,8.110389559,17.326121951971118,-9.215732392971118,7.891354108188509,0.21903545081149112,8.631103210963422,-0.5207136519634226,2.8389133872895433,0.008961181401992313
5,89283081117ffff,26.55681894,12.754883172265803,13.801935767734197,7.236676751994938,19.32014218800506,5.816954151866245,20.739864788133755,2.68212948058383,2.47120137819091
6,892830812b3ffff,7.904279492000001,12.263400983675647,-4.359121491675646,6.826162595662499,1.0781168963375016,6.787684720279409,1.1165947717205915,2.453567357966876,0.3578876909357378
7,89283098ed3ffff,12.94736853,11.274651072373628,1.6727174576263728,9.65448769064588,3.2928808393541207,6.905234542750112,6.042133987249889,2.8633087043405623,0.7349364971430719
8,89283081563ffff,21.866455780000006,14.454809229461311,7.411646550538695,19.891558779092307,1.9748970009076992,45.22726940076341,-23.360813620763405,4.540978361692238,0.13517986702500728
9,89283081013ffff,11.1538459,0.30524542924747067,10.84860047075253,9.353906329754036,1.7999395702459644,7.668275461914172,3.485570438085828,3.0353885661455604,0.30434883371090127
10,89283081047ffff,9.720338165,11.533891869299678,-1.8135537042996788,9.322057307500632,0.39828085749936726,8.69388504053041,1.0264531244695903,3.0804800400344323,0.03726564635501406
11,8928309818fffff,7.0555558325,10.970098569994915,-3.9145427374949158,4.520265084175183,2.535290748324817,5.783001249164184,1.2725545833358156,2.4574678282814384,0.19876179893455204
12,8928308109bffff,23.39668777,14.798305112001932,8.598382657998068,24.63083104993335,-1.234143279933349,24.973197573252992,-1.5765098032529927,5.029113894066564,-0.19210161684418736
13,892830811d7ffff,4.534310279,9.208287249399879,-4.673976970399879,6.655384053994872,-2.1210737749948727,9.905254340844781,-5.3709440618447815,2.5412150580282487,-0.41182306053224993
14,89283099897ffff,28.80833374,6.38189851508826,22.42643522491174,22.529431690369705,6.278902049630293,36.38046028937156,-7.572126549371564,4.586349280138778,0.7809902600803795
