h3id_9,BC,NO,NO$_2$
89283098357ffff,0.294441,8.959088,10.451247
892830983c3ffff,0.24059495,4.50914,6.920841
8928308139bffff,0.3421948,5.1629286,12.141641
892830812bbffff,0.35787553,3.7463472,12.052176
892830811dbffff,0.3825727,6.0474734,11.011819
892830983b7ffff,0.57812005,6.723579,11.073008
89283098313ffff,0.37594956,9.233986,10.719439
8928308146fffff,0.89172035,24.126123,23.292051
892830981c7ffff,0.47935212,17.011957,13.7044935
8928309813bffff,0.42184886,6.514268,11.851656
89283098ec7ffff,0.41623798,4.2715254,11.044387
892830981d3ffff,0.31646723,2.993449,7.7768044
89283098307ffff,0.29912734,5.5944743,8.608242
89283081173ffff,1.0069072,20.674706,20.242033
892830811c3ffff,0.44111574,5.7331076,11.882954
89283081397ffff,0.3771877,5.980128,11.684892
89283099c13ffff,1.1154878,31.287025,21.073015
8928308154fffff,0.597226,6.495435,12.977897
89283081193ffff,0.8011172,17.018925,20.730343
892830811d3ffff,0.39426735,5.1961656,11.618088
8928309838bffff,0.32239896,4.479217,6.0429616
8928308100fffff,0.48158097,10.602374,17.620094
89283081033ffff,0.33414564,5.0358872,12.00196
89283081073ffff,0.4951579,11.331451,16.912756
89283098e1bffff,0.44059718,7.4124465,8.984536
89283081393ffff,0.42156297,8.485643,15.065506
892830813bbffff,0.4121206,5.3672323,10.847093
89283081ed3ffff,0.5180132,13.878072,13.291803
89283081383ffff,0.3837455,5.310839,12.228631
89283098e4bffff,0.15377146,7.2974696,8.827627
892830981bbffff,0.55813444,7.3280187,12.438208
89283098143ffff,0.37659857,6.364484,9.30155
8928309815bffff,0.30715936,4.77939,8.692707
89283099c83ffff,0.7090708,25.920145,21.214228
892830983abffff,0.26133347,3.8169029,6.4808784
89283098183ffff,0.38376996,6.6627345,8.695439
892830810c3ffff,0.44617644,9.113647,15.377093
892830810c7ffff,0.4413642,10.179601,16.075912
89283081187ffff,1.609571,26.443916,25.870264
8928309838fffff,0.35897183,5.08143,7.1779
8928308130bffff,0.36298466,7.1210585,12.809317
89283098e9bffff,0.546105,10.262095,12.020168
89283099c97ffff,0.30696374,9.407224,10.703806
892830983a3ffff,0.29366514,4.026103,6.932664
8928309814fffff,0.33785775,2.897708,5.770955
89283099ddbffff,0.3213698,4.990657,8.197399
89283099dd7ffff,0.31567687,3.133963,8.188789
89283098227ffff,0.25761393,3.8213718,7.4772415
8928308155bffff,0.32922345,5.683283,12.5973835
8928309822fffff,0.29213458,3.5480704,7.0748034
89283081003ffff,0.48368496,6.928682,16.296055
8928309810bffff,1.1867499,50.578033,30.575825
89283081063ffff,0.5063788,9.02008,16.6199
89283098237ffff,0.25471193,4.5273156,8.22909
89283098027ffff,0.31027985,4.820413,8.726193
89283081043ffff,0.58967453,10.246241,15.522886
89283081077ffff,0.58180064,14.761543,18.380487
89283098303ffff,0.25537735,5.897179,7.989845
89283098ed7ffff,0.71562064,11.970351,14.964021
892830813dbffff,0.49740872,8.07486,15.898068
8928308146bffff,0.6390911,26.287893,23.993307
89283099d1bffff,0.21715182,3.7519217,8.21036
89283081567ffff,0.6129664,9.696747,16.226208
89283099d9bffff,0.28783777,7.9092264,11.00118
89283098563ffff,0.39118314,7.9854255,9.66561
89283098337ffff,0.32225925,3.2579448,6.5195465
8928309810fffff,0.9611594,31.73517,20.772848
8928309812bffff,1.6188191,66.17009,35.2728
892830810abffff,0.48622033,7.6412287,14.804158
89283099d0bffff,0.29406285,7.7599216,9.745517
89283099cb7ffff,0.26753634,2.239019,7.5625668
892830810afffff,0.39677915,7.0807137,12.188308
89283081087ffff,0.71629703,24.474678,21.655922
8928308106fffff,0.58657515,8.339168,16.903908
8928308108bffff,0.5060974,13.662003,18.459482
8928309831bffff,0.2739727,6.583053,9.46953
892830811cbffff,0.3529998,4.637254,11.505834
8928309839bffff,0.39278638,5.4207644,7.9959097
892830812afffff,0.369514,11.187056,14.265239
8928308114bffff,0.544885,6.021012,12.510155
8928308152bffff,2.0084195,58.389687,36.14402
89283099d57ffff,0.21192539,5.335654,6.612856
892830980a7ffff,2.2026591,52.22588,29.0131
89283081097ffff,0.4174083,6.040811,13.362749
8928308118bffff,0.35689354,4.759274,11.188746
89283099c07ffff,0.40142474,27.74744,18.367653
8928308117bffff,0.5455838,14.343329,16.622732
89283098373ffff,0.26076615,4.553791,9.379331
89283098ecbffff,0.35743266,4.668202,8.6764145
89283081113ffff,0.41998595,4.645747,11.981959
